corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,test_year
15322.1429,18094.2857,242.2857,2529.8571,0.2017,0.0259,6517.2857,8804.8571,0.7983,0.9682,0.8862,Jan,2014
8183.5,9096.0,157.6667,754.8333,0.1647,0.0358,3793.1667,4390.3333,0.8353,0.9582,0.8998,Feb,2014
4736.7143,5348.5714,75.1429,536.7143,0.183,0.0274,2137.5714,2599.1429,0.817,0.9673,0.8948,Mar,2014
10808.2,13378.8,76.2,2494.4,0.3329,0.0119,4195.0,6613.2,0.6671,0.9815,0.8276,Apr,2014
9220.5,12622.6667,95.6667,3306.5,0.3518,0.0159,3004.8333,6215.6667,0.6482,0.958,0.8162,May,2014
21999.8,34077.6,329.6,11748.2,0.4987,0.0191,5290.6,16709.2,0.5013,0.9479,0.7411,Jun,2014
10557.8571,12678.0,122.1429,1998.0,0.2861,0.0193,4341.0,6216.8571,0.7139,0.9717,0.8473,Jul,2014
8340.6667,9465.3333,78.5,1046.1667,0.2193,0.0168,3686.5,4654.1667,0.7807,0.9786,0.8819,Aug,2014
10424.1667,12491.0,84.0,1982.8333,0.3265,0.0146,4262.6667,6161.5,0.6735,0.9777,0.8294,Sep,2014
23856.5,38751.3333,334.0,14560.8333,0.3622,0.0175,4814.8333,19041.6667,0.6378,0.9537,0.8101,Oct,2014
57614.8333,85221.3333,937.3333,26669.1667,0.4358,0.0215,15941.5,41673.3333,0.5642,0.912,0.7714,Nov,2014
29086.3333,39245.6667,1242.6667,8916.6667,0.337,0.1132,10706.1667,18380.1667,0.663,0.8834,0.7749,Dec,2014
