corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5447,6316,109,760,0.24065864471184295,0.03451551614946168,2398,3049,0.759341355288157,0.9565217391304348,0.86241,03,2014,0
4749,5116,82,285,0.11141516810007819,0.03205629397967162,2273,2476,0.8885848318999218,0.9651804670912951,0.92826,03,2014,1
2075,2112,22,15,0.014204545454545454,0.020833333333333332,1041,1034,0.9857954545454546,0.9793038570084666,0.98248,03,2014,2
5409,6016,82,525,0.1745345744680851,0.02726063829787234,2483,2926,0.8254654255319149,0.9680311890838207,0.8991,03,2014,3
6941,7390,129,320,0.08660351826792964,0.034912043301759135,3375,3566,0.9133964817320703,0.9631849315068494,0.93924,03,2014,4
6684,6844,126,34,0.009935710111046173,0.03682057276446522,3388,3296,0.9900642898889538,0.9641434262948207,0.97662,03,2014,5
3565,3646,58,23,0.012616566099835436,0.03181568842567197,1800,1765,0.9873834339001646,0.9687836383207751,0.97778,03,2014,6
5501,6316,123,692,0.21912602913236226,0.038948701709943,2466,3035,0.7808739708676378,0.9524913093858632,0.87096,03,2014,0
4754,5116,102,260,0.1016419077404222,0.0398749022673964,2298,2456,0.8983580922595777,0.9575,0.92924,03,2014,1
2069,2112,31,12,0.011363636363636364,0.029356060606060608,1044,1025,0.9886363636363636,0.9711627906976744,0.97964,03,2014,2
5851,6016,102,63,0.020944148936170214,0.0339095744680851,2945,2906,0.9790558510638298,0.9665244502789629,0.97257,03,2014,3
6782,7390,165,443,0.11989174560216509,0.044654939106901215,3252,3530,0.8801082543978349,0.95171202809482,0.91773,03,2014,4
6518,6844,153,173,0.0505552308591467,0.04471069549970777,3249,3269,0.9494447691408533,0.955026455026455,0.95237,03,2014,5
3563,3646,73,10,0.005485463521667581,0.04004388370817334,1813,1750,0.9945145364783324,0.9612937433722163,0.97724,03,2014,6
