precision,recall,fpr,fnr,fp,tn,fn,tp,mean_accuracy,mean_std,month,test_year
0.9734746297805774,0.8860925986314051,0.023701913602490885,0.11390740136859483,285.8333333333333,10042.0,2195.0,8132.833333333333,0.9311933333333333,0.04765475660064444,Jan,2014
0.967286717096063,0.7634651902781494,0.02473004564556309,0.2365348097218505,106.0,4423.714285714285,1111.7142857142858,3418.0,0.8693685714285715,0.08744474949524249,Feb,2014
0.9700786426580237,0.6948003272019784,0.021505054759684096,0.3051996727980216,82.57142857142857,4311.285714285715,1357.857142857143,3036.0,0.83665,0.02744394468730762,Mar,2014
0.9821753014260104,0.7046875922950482,0.012284999040346216,0.2953124077049519,56.142857142857146,4865.857142857143,1470.857142857143,3451.1428571428573,0.8462014285714285,0.0582266303417292,Apr,2014
0.9778981850352727,0.6462058962441726,0.011875131791710214,0.3537941037558275,66.0,6004.4,2960.4,3110.0,0.817164,0.1282790884361126,May,2014
0.973072593995893,0.6823779608132567,0.017176164525932763,0.3176220391867432,133.8,7404.2,3102.6,4435.4,0.832602,0.1045758125476441,Jun,2014
0.9773847845539909,0.7179209590257002,0.01594673015963553,0.28207904097429964,82.66666666666667,4854.166666666667,1258.1666666666667,3678.6666666666665,0.8509866666666667,0.09970550068409802,Jul,2014
0.9797669675975534,0.7672242473567719,0.015214152217109611,0.23277575264322817,71.57142857142857,4916.142857142857,1085.7142857142858,3902.0,0.8760071428571429,0.06577908956354994,Aug,2014
0.9839406672075668,0.7334636661640579,0.011639472756985075,0.26653633383594216,70.0,5891.6,1620.6,4341.0,0.8609120000000001,0.0863186843620777,Sep,2014
0.9713364796756535,0.7659945199824311,0.02177644325688007,0.234005480017569,120.85714285714286,5463.0,1186.0,4397.857142857143,0.8721085714285716,0.0727993892896938,Oct,2014
0.9409916475623351,0.569421164657966,0.020413269725614903,0.430578835342034,602.4,25902.0,11481.8,15022.6,0.774502,0.1876376633834476,Nov,2014
0.9571394682097859,0.6705564574371229,0.02925201384354856,0.3294435425628771,348.8333333333333,11237.166666666666,3626.8333333333335,7959.166666666667,0.8206516666666666,0.05869531613908103,Dec,2014
