fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year
442.2857,2035.2857,7011.8571,8604.8571,0.0894,0.0437,0.9106,0.9531,0.9335,01,2014
227.0,647.3333,3900.6667,4321.0,0.1247,0.0512,0.8753,0.9437,0.9121,02,2014
108.7143,218.4286,2455.8571,2565.5714,0.0704,0.0391,0.9296,0.9592,0.9453,03,2014
171.8,630.8,6058.6,6517.6,0.0857,0.0269,0.9143,0.9714,0.9437,04,2014
251.0,440.6667,5870.6667,6060.3333,0.0646,0.0408,0.9354,0.9583,0.9473,05,2014
1055.2,461.8,16577.0,15983.6,0.0168,0.0569,0.9832,0.9454,0.9631,06,2014
221.5714,169.1429,6169.8571,6117.4286,0.0268,0.0342,0.9732,0.9662,0.9695,07,2014
149.1667,81.6667,4651.0,4583.5,0.0164,0.0315,0.9836,0.969,0.976,08,2014
193.6667,70.0,6175.5,6051.8333,0.0116,0.0333,0.9884,0.9674,0.9775,09,2014
726.0,12933.1667,6442.5,18649.6667,0.1847,0.0412,0.8153,0.9305,0.887,10,2014
1769.6667,2829.5,39781.1667,40841.0,0.1017,0.0408,0.8983,0.9531,0.9287,11,2014
1656.3333,1396.0,18226.8333,17966.5,0.1152,0.1463,0.8848,0.887,0.8693,12,2014
